date,team1,team2,team1_score,team2_score,output
"['2022', '10', '18']",DEN,BOS,123,111,0
"['2022', '10', '18']",MEM,SAC,118,108,0
"['2022', '10', '19']",WAS,MIL,118,95,0
"['2022', '10', '19']",BRK,SAS,139,103,0
"['2022', '10', '19']",LAL,CHO,121,115,0
"['2022', '10', '19']",CLE,CHI,145,134,0
"['2022', '10', '19']",GSW,ATL,143,141,0
"['2022', '10', '19']",DAL,HOU,111,106,0
"['2022', '10', '19']",IND,TOR,122,114,0
"['2022', '10', '19']",MIA,LAC,110,100,0
"['2022', '10', '19']",MIN,DEN,124,111,0
"['2022', '10', '19']",NYK,PHO,102,83,0
"['2022', '10', '19']",PHI,NOP,120,111,0
"['2022', '10', '19']",POR,DET,135,106,0
"['2022', '10', '20']",MIL,WAS,123,113,0
"['2022', '10', '20']",OKC,BOS,150,117,0
"['2022', '10', '21']",SAC,UTA,117,115,0
"['2022', '10', '21']",CHI,BRK,121,112,0
"['2022', '10', '21']",MEM,CHO,131,107,0
"['2022', '10', '21']",CLE,PHO,90,88,0
"['2022', '10', '21']",DET,GSW,122,119,0
"['2022', '10', '21']",LAL,MIA,112,109,0
"['2022', '10', '21']",MIN,POR,113,106,0
"['2022', '10', '21']",NOP,HOU,119,108,0
"['2022', '10', '21']",NYK,SAS,117,114,0
"['2022', '10', '21']",ORL,OKC,126,115,0
"['2022', '10', '21']",PHI,IND,129,126,0
"['2022', '10', '22']",ATL,SAC,120,117,0
"['2022', '10', '22']",MIL,TOR,104,101,0
"['2022', '10', '22']",BOS,DAL,124,95,0
"['2022', '10', '22']",DEN,LAC,122,91,0
"['2022', '10', '22']",UTA,HOU,131,114,0
"['2022', '10', '22']",MEM,ORL,123,115,0
"['2022', '10', '22']",DEN,CLE,121,108,0
"['2022', '10', '22']",IND,POR,108,99,0
"['2022', '10', '22']",LAL,ATL,130,114,0
"['2022', '10', '23']",CHO,MIL,138,109,0
"['2022', '10', '23']",MIN,LAC,128,115,0
"['2022', '10', '23']",BRK,NOP,108,102,0
"['2022', '10', '23']",OKC,WAS,127,110,0
"['2022', '10', '23']",CHI,PHI,126,112,0
"['2022', '10', '23']",MIA,PHO,104,96,0
"['2022', '10', '23']",SAS,DET,121,109,0
"['2022', '10', '24']",NYK,TOR,112,108,0
"['2022', '10', '24']",CHI,UTA,126,118,0
"['2022', '10', '24']",DAL,NOP,127,117,0
"['2022', '10', '24']",ORL,GSW,115,101,0
"['2022', '10', '24']",LAL,SAC,136,134,0
"['2022', '10', '24']",BOS,SAS,121,116,0
"['2022', '10', '24']",PHI,DET,123,111,0
"['2022', '10', '24']",MIN,HOU,104,96,0
"['2022', '10', '25']",IND,CHO,116,111,0
"['2022', '10', '25']",ATL,LAC,112,108,0
"['2022', '10', '25']",MEM,UTA,123,118,0
"['2022', '10', '25']",BRK,MIA,102,101,0
"['2022', '10', '26']",OKC,DAL,120,109,0
"['2022', '10', '26']",CLE,PHO,112,98,0
"['2022', '10', '26']",TOR,POR,117,105,0
"['2022', '10', '26']",BOS,CHI,107,99,0
"['2022', '10', '26']",DEN,LAL,122,109,0
"['2022', '10', '26']",MEM,SAS,121,113,0
"['2022', '10', '26']",MIL,NYK,111,107,0
"['2022', '10', '26']",SAC,ORL,136,111,0
"['2022', '10', '26']",NOP,WAS,132,112,0
"['2022', '10', '26']",PHO,GSW,125,113,0
"['2022', '10', '27']",LAC,DAL,113,101,0
"['2022', '10', '27']",MIA,OKC,112,111,0
"['2022', '10', '27']",PHI,DET,147,116,0
"['2022', '10', '27']",ORL,POR,109,106,0
"['2022', '10', '28']",TOR,CHO,132,120,0
"['2022', '10', '28']",UTA,CLE,116,114,0
"['2022', '10', '28']",MIL,ATL,114,105,0
"['2022', '10', '28']",BOS,NOP,125,114,0
"['2022', '10', '28']",DEN,PHO,126,97,0
"['2022', '10', '28']",DET,MIN,135,118,0
"['2022', '10', '28']",MEM,SAS,135,129,0
"['2022', '10', '28']",NYK,IND,119,113,0
"['2022', '10', '28']",SAC,HOU,135,115,0
"['2022', '10', '28']",WAS,CHI,100,97,0
"['2022', '10', '28']",BOS,BRK,109,98,0
"['2022', '10', '29']",DAL,LAL,119,115,0
"['2022', '10', '29']",MIA,MIL,108,102,0
"['2022', '10', '29']",OKC,PHI,133,114,0
"['2022', '10', '29']",CLE,POR,119,113,0
"['2022', '10', '29']",TOR,CHO,124,114,0
"['2022', '10', '29']",OKC,CHI,124,110,0
"['2022', '10', '29']",NOP,DET,116,110,0
"['2022', '10', '30']",ATL,IND,113,111,0
"['2022', '10', '30']",DEN,LAC,115,103,0
"['2022', '10', '30']",MIN,PHO,121,116,0
"['2022', '10', '30']",SAC,HOU,139,114,0
"['2022', '10', '30']",GSW,SAS,144,113,0
"['2022', '10', '30']",UTA,ORL,112,108,0
"['2022', '10', '30']",NYK,WAS,112,108,0
"['2022', '10', '30']",BOS,CHO,122,106,0
"['2022', '10', '31']",MEM,IND,130,112,0
"['2022', '10', '31']",MIA,MIL,111,95,0
"['2022', '10', '31']",MIN,CLE,110,102,0
"['2022', '10', '31']",POR,DAL,136,119,0
"['2022', '10', '31']",ATL,TOR,114,103,0
"['2022', '10', '31']",PHI,UTA,118,117,0
"['2022', '10', '31']",OKC,BRK,112,102,0
"['2022', '11', '01']",CHI,GSW,132,118,0
"['2022', '11', '01']",DEN,ORL,119,116,0
"['2022', '11', '01']",NYK,DET,117,104,0
"['2022', '11', '01']",LAC,HOU,121,100,0
"['2022', '11', '02']",PHI,LAL,113,112,0
"['2022', '11', '02']",POR,DAL,140,123,0
"['2022', '11', '02']",SAC,SAS,132,119,0
"['2022', '11', '02']",ATL,MIA,121,113,0
"['2022', '11', '02']",BOS,CHO,130,118,0
"['2022', '11', '02']",CLE,NOP,113,103,0
"['2022', '11', '02']",LAL,HOU,140,132,0
"['2022', '11', '02']",MEM,PHO,136,106,0
"['2022', '11', '02']",MIL,IND,132,119,0
"['2022', '11', '02']",UTA,MIN,126,125,0
"['2022', '11', '02']",TOR,NYK,123,121,0
"['2022', '11', '03']",GSW,WAS,127,118,0
"['2022', '11', '03']",DEN,POR,122,113,0
"['2022', '11', '04']",PHI,LAC,120,110,0
"['2022', '11', '04']",MIL,TOR,130,122,0
"['2022', '11', '04']",SAS,BRK,106,98,0
"['2022', '11', '04']",ATL,DAL,130,122,0
"['2022', '11', '04']",DEN,MIN,122,118,0
"['2022', '11', '04']",CHO,HOU,122,117,0
"['2022', '11', '04']",SAC,LAL,116,111,0
"['2022', '11', '04']",MEM,CLE,115,114,0
